carat,cut,color,clarity,depth,table,price,x,y,z,clarity_measure,color_measure
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,2.4384749999999995,1.9644560624999998,1,5
0.21,Premium,E,SI1,59.8,61.0,326,3.89,2.31127,1.85417973,2,5
0.23,Good,E,VS1,56.9,65.0,327,4.05,2.3101399999999996,1.8094598299999998,4,5
0.29,Premium,I,VS2,62.4,58.0,334,4.2,2.630159999999999,2.13100992,3,1
0.31,Good,J,SI2,63.3,58.0,335,4.34,2.7503849999999996,2.2441068525,1,0
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,2.4806000000000004,2.0160684,5,0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,2.4701949999999995,1.9998907424999999,6,1
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,2.5317099999999995,2.043229245,2,2
0.22,Fair,E,VS2,65.1,61.0,337,3.87,2.490075,2.0702044125,3,5
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,2.3908500000000004,1.89808245,4,2
0.3,Good,J,SI1,64.0,55.0,339,4.25,2.7296000000000014,2.2334720000000003,2,0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,2.4586200000000002,2.00602668,4,0
0.22,Premium,F,SI1,60.4,61.0,342,3.88,2.3314399999999997,1.87585488,2,4
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,2.71192,2.19625712,1,0
0.2,Premium,E,SI2,60.2,62.0,345,3.79,2.26954,1.82392154,1,5
0.32,Premium,E,I1,60.9,58.0,345,4.38,2.679599999999999,2.1496481999999997,0,5
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,2.681499999999998,2.1673649999999993,1,1
0.3,Good,J,SI1,63.4,54.0,351,4.23,2.7008399999999995,2.19707628,2,0
0.3,Good,J,SI1,63.8,56.0,351,4.23,2.708310000000001,2.2133208900000003,2,0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,2.65848,2.15326848,2,0
0.3,Good,I,SI2,63.3,56.0,351,4.26,2.7092399999999994,2.2057644599999997,1,1
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,2.4786300000000003,2.01883297,3,5
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,2.4095,1.9365975,4,2
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,2.6195400000000006,2.08183338,2,0
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,2.588354999999999,2.0417371275,2,0
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,2.4099600000000003,1.9267479200000002,5,3
0.24,Premium,I,VS1,62.5,57.0,355,3.97,2.4718749999999985,2.0130859374999996,4,1
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,2.668380000000001,2.1609461800000003,3,0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,2.3988249999999995,1.9235445624999998,3,6
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,2.420775,1.9429459875,4,4
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,2.4090000000000007,1.9227,4,4
0.23,Very Good,F,VS1,59.8,57.0,402,4.04,2.4219,1.9321081,4,4
0.23,Very Good,E,VS1,60.7,59.0,402,3.97,2.42193,1.9399507550000001,4,5
0.23,Very Good,E,VS1,59.5,58.0,402,4.01,2.4008249999999993,1.9072204374999997,4,5
0.23,Very Good,D,VS1,61.9,58.0,402,3.92,2.43886,1.9680671699999999,4,6
0.23,Good,F,VS1,58.2,59.0,402,4.06,2.36874,1.87076334,4,4
0.23,Good,E,VS1,64.1,59.0,402,3.83,2.4614399999999987,2.0164065199999994,4,5
0.31,Good,H,SI1,64.0,54.0,402,4.29,2.752,2.25344,2,2
0.26,Very Good,D,VS2,60.8,59.0,403,4.13,2.5201600000000006,2.02164864,3,6
0.33,Ideal,I,SI2,61.8,55.0,403,4.49,2.7810000000000006,2.2467390000000003,1,1
0.33,Ideal,I,SI2,61.2,56.0,403,4.49,2.75094,2.21572764,1,1
0.33,Ideal,J,SI1,61.1,56.0,403,4.49,2.7617199999999986,2.2154004599999997,2,0
0.26,Good,D,VS2,65.2,56.0,403,3.99,2.6112599999999997,2.15201076,3,6
0.26,Good,D,VS1,58.4,63.0,403,4.19,2.4615599999999995,1.9422555199999998,4,6
0.32,Good,H,SI2,63.1,56.0,403,4.34,2.748005000000001,2.2362655775,1,2
0.29,Premium,F,SI1,62.4,58.0,403,4.24,2.652,2.150304,2,4
0.32,Very Good,H,SI2,61.8,55.0,403,4.35,2.709930000000001,2.18151837,1,2
0.32,Good,H,SI2,63.8,56.0,403,4.36,2.7880599999999998,2.28023114,1,2
0.25,Very Good,E,VS2,63.3,60.0,404,4.0,2.5414950000000003,2.0703831675,3,5
0.29,Very Good,H,SI2,60.7,60.0,404,4.33,2.6404499999999995,2.115531575,1,2
0.24,Very Good,F,SI1,60.9,61.0,404,4.02,2.451225,1.9704880124999997,2,4
0.23,Ideal,G,VS1,61.9,54.0,404,3.93,2.4388599999999996,1.97116217,4,3
0.32,Ideal,I,SI1,60.9,55.0,404,4.45,2.7191850000000013,2.1830168325000003,2,1
0.22,Premium,E,VS2,61.6,58.0,404,3.93,2.40856,1.95227648,3,5
0.22,Premium,D,VS2,59.3,62.0,404,3.91,2.309735,1.8441514275,3,6
0.3,Ideal,I,SI2,61.0,59.0,405,4.3,2.6321499999999993,2.1143057499999998,1,1
0.3,Premium,J,SI2,59.3,61.0,405,4.43,2.612165,2.0880019224999997,1,0
0.3,Very Good,I,SI1,62.6,57.0,405,4.25,2.6698900000000005,2.16592557,2,1
0.3,Very Good,I,SI1,63.0,57.0,405,4.28,2.7090000000000005,2.2015350000000002,2,1
0.3,Good,I,SI1,63.2,55.0,405,4.25,2.6986399999999993,2.19577024,2,1
0.35,Ideal,I,VS1,60.9,57.0,552,4.54,2.7800849999999997,2.2289658825,4,1
0.3,Premium,D,SI1,62.6,59.0,552,4.23,2.6605,2.1567265,2,6
0.3,Ideal,D,SI1,62.5,57.0,552,4.29,2.6906250000000007,2.1814453125,2,6
0.3,Ideal,D,SI1,62.1,56.0,552,4.3,2.679614999999999,2.1671704574999997,2,6
0.42,Premium,I,SI2,61.5,59.0,552,4.78,2.9581500000000007,2.3794811250000003,1,1
0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,2.5818699999999994,2.07896409,5,3
0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,2.7311000000000005,2.207541,6,1
0.31,Very Good,G,SI1,63.3,57.0,553,4.33,2.731394999999999,2.2349315174999997,2,3
0.31,Premium,G,SI1,61.8,58.0,553,4.35,2.679030000000001,2.17197027,2,3
0.24,Premium,E,VVS1,60.7,58.0,553,4.01,2.4401399999999995,1.9576174899999998,6,5
0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,2.4507750000000006,1.9743883125000001,6,6
0.3,Very Good,H,SI1,63.1,56.0,554,4.29,2.7006799999999993,2.20555954,2,2
0.3,Premium,H,SI1,62.9,59.0,554,4.28,2.679540000000001,2.1887753300000004,2,2
0.3,Premium,H,SI1,62.5,57.0,554,4.29,2.66875,2.174609375,2,2
0.3,Good,H,SI1,63.7,57.0,554,4.28,2.71999,2.229496815,2,2
0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,2.4893600000000005,1.9770905600000006,5,4
0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,2.50981,1.994613095,5,5
0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,2.5615200000000007,2.07215424,5,6
0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,2.5308399999999995,2.0538237599999998,5,6
0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,2.5509499999999994,2.06922735,6,5
0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,2.548679999999999,2.07593156,6,5
0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,2.530575,2.0370585375,6,6
0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,2.5411599999999996,2.0634848199999998,5,5
0.38,Ideal,I,SI2,61.6,56.0,554,4.65,2.8705600000000002,2.3163324800000002,1,1
0.26,Good,E,VVS1,57.9,60.0,554,4.22,2.452065,1.9315628175,6,5
0.24,Premium,G,VVS1,62.3,59.0,554,3.95,2.451505,1.9940688075000002,6,3
0.24,Premium,H,VVS1,61.2,58.0,554,4.01,2.4388199999999998,1.9733389199999998,6,2
0.24,Premium,H,VVS1,60.8,59.0,554,4.02,2.4380799999999994,1.9632563199999997,6,2
0.24,Premium,H,VVS2,60.7,58.0,554,4.07,2.461385,1.9822753475000001,5,2
0.32,Premium,I,SI1,62.9,58.0,554,4.35,2.7298600000000004,2.22661597,2,1
0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,3.5687500000000005,2.896484375,2,5
0.86,Fair,E,SI2,55.1,69.0,2757,6.45,3.5208900000000005,2.7469801950000003,1,5
0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,3.5019599999999995,2.83420368,3,3
0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,3.55992,2.88285504,3,5
0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,3.719540000000001,3.03992326,1,3
0.7,Good,E,VS2,57.5,58.0,2759,5.85,3.378124999999999,2.6530859374999993,3,5
0.7,Good,F,VS1,59.4,62.0,2759,5.71,3.4065899999999987,2.7076272299999995,4,4
0.96,Fair,F,SI2,66.3,62.0,2759,6.27,4.050929999999999,3.4213882949999994,1,4
0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,3.5574000000000012,2.8728392,2,5
0.8,Premium,H,SI1,61.5,58.0,2760,5.97,3.6592499999999992,2.960994375,2,2
0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,3.6498,2.9861368,2,6
0.75,Premium,E,SI1,59.9,54.0,2760,6.0,3.58202,2.86981499,2,5
0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,3.5881999999999996,2.8915656,2,3
0.75,Premium,G,VS2,61.7,58.0,2760,5.85,3.59094,2.91252999,3,3
0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,3.714244999999999,3.0362600525,4,1
0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,3.629369999999999,2.9543040699999996,2,3
0.8,Premium,G,SI1,63.0,59.0,2760,5.9,3.688650000000001,3.0204247500000005,2,3
0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,3.60717,2.920988455,5,1
0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,3.601499999999999,2.8640009999999996,1,4
0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,3.3510999999999997,2.706641,5,5
0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,3.6717199999999997,2.95693804,1,4
0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,3.6200400000000004,2.9296324400000002,1,5
0.9,Premium,I,VS2,63.0,58.0,2761,6.16,3.8682,3.158883,3,1
0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,3.5920500000000004,2.8991575500000004,2,3
0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,3.6026299999999996,2.9336331899999997,3,4
0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,3.6209250000000006,2.9534599875,3,4
0.8,Premium,F,SI2,61.7,58.0,2762,5.98,3.67732,2.97928322,1,4
0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,3.58176,2.90214912,3,3
0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,3.487214999999999,2.7974247524999996,3,5
0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,3.61796,2.8835740199999997,1,4
0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,3.5573300000000003,2.893003295,1,6
0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,3.622744999999999,2.9351850674999995,2,5
0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,3.470624999999999,2.8106278124999995,3,4
0.7,Fair,F,VS2,64.5,57.0,2762,5.57,3.5797500000000007,2.9507943750000005,3,4
0.7,Fair,F,VS2,65.3,55.0,2762,5.63,3.6600650000000003,3.0332062225,3,4
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,3.461920000000001,2.80647136,3,4
0.91,Premium,H,SI1,61.4,56.0,2763,6.09,3.70242,3.00627294,2,2
0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,3.3197199999999993,2.6461565599999997,5,6
0.91,Fair,H,SI2,64.4,57.0,2763,6.11,3.928399999999999,3.2323648,1,2
0.91,Fair,H,SI2,65.7,60.0,2763,6.03,3.948570000000001,3.2779602450000005,1,2
0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,3.642499999999999,2.9550749999999995,3,2
0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,3.5997600000000007,2.9382436800000002,2,6
